Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2007;Total esposas de matrimonios de distinto sexo residentes;Otros;;;27712;Número;
2007;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;25160;Número;
2007;Defunciones de residentes hombres;Otros;;;20959;Número;
2007;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;187;Número;
2007;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;455;Número;
2007;Total nacimientos de residentes;Otros;;;74841;Número;
2007;Nacimientos de hombres residentes;Otros;;;38490;Número;
2007;Nacimientos de mujeres residentes;Otros;;;36351;Número;
2007;Total defunciones de residentes;Otros;;;41394;Número;
2007;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;642;Número;
2008;Defunciones de residentes mujeres;Otros;;;20404;Número;
2008;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;26713;Número;
2008;Total esposos de matrimonios de distinto sexo residentes;Otros;;;26815;Número;
2008;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;23566;Número;
2008;Total esposas de matrimonios de distinto sexo residentes;Otros;;;26617;Número;
2008;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;23696;Número;
2008;Defunciones de residentes hombres;Otros;;;20866;Número;
2008;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;209;Número;
2008;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;474;Número;
2008;Total nacimientos de residentes;Otros;;;78741;Número;
2008;Nacimientos de hombres residentes;Otros;;;40458;Número;
2008;Nacimientos de mujeres residentes;Otros;;;38283;Número;
2008;Total defunciones de residentes;Otros;;;41270;Número;
2008;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;683;Número;
2009;Defunciones de residentes mujeres;Otros;;;20625;Número;
2009;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;24645;Número;
2009;Total esposos de matrimonios de distinto sexo residentes;Otros;;;24585;Número;
2009;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;21650;Número;
2009;Total esposas de matrimonios de distinto sexo residentes;Otros;;;24367;Número;
2009;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;21866;Número;
2009;Defunciones de residentes hombres;Otros;;;20640;Número;
2009;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;159;Número;
2009;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;401;Número;
2009;Total nacimientos de residentes;Otros;;;75892;Número;
2009;Nacimientos de hombres residentes;Otros;;;39258;Número;
2009;Nacimientos de mujeres residentes;Otros;;;36634;Número;
2009;Total defunciones de residentes;Otros;;;41265;Número;
2009;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;560;Número;
2010;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;21744;Número;
2010;Defunciones de residentes hombres;Otros;;;20209;Número;
2010;Defunciones de residentes mujeres;Otros;;;20319;Número;
2010;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;24735;Número;
2010;Total esposos de matrimonios de distinto sexo residentes;Otros;;;24597;Número;
2010;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;21336;Número;
2010;Total defunciones de residentes;Otros;;;40528;Número;
